,academic_year,gender,qualification,study_level,modules,module_credits,grade_average,modules_passed,pass_rate,passed_all_modules,tutorial_classes_attended,tutorial_class_modules
49,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,10.0,0,0.0,no,0,0
50,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,60,48.0,2,66.7,no,5,1
51,2024,Female,BSc in CompUter Science,3rd year,1,15,50.0,1,100.0,yes,0,0
52,2024,Male,BSc in CompUter Science,3rd year,5,80,52.0,3,60.0,no,0,0
53,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,2,40,56.0,2,100.0,yes,0,0
54,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,4,80,36.0,0,0.0,no,12,2
55,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,60,38.0,0,0.0,no,0,0
56,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,3,60,,0,0.0,no,0,0
57,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,60,46.0,1,33.3,no,0,0
58,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,7,140,56.0,5,71.4,no,8,4
59,2024,Male,BSc in CompUter Science,2nd year,2,35,62.0,1,50.0,no,0,0
60,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,50,52.0,2,66.7,no,4,1
61,2024,Female,BSc IT: Data Science,1st year,11,136,10.0,0,0.0,no,3,1
62,2024,Female,BSc IT: Software Engineering,3rd year,6,90,62.0,6,100.0,yes,0,0
63,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,2,40,54.0,2,100.0,yes,0,0
64,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,8,140,68.0,8,100.0,yes,20,5
65,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,4,80,41.0,1,25.0,no,22,2
66,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,4,90,34.0,0,0.0,no,1,1
67,2024,Female,BSc in CompUter Science,1st year,2,32,52.0,1,50.0,no,6,2
68,2024,Female,BSc in CompUter Science,3rd year,7,130,68.0,7,100.0,yes,2,1
69,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,60,70.0,3,100.0,yes,10,2
70,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,1,20,56.0,1,100.0,yes,0,0
71,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,7,140,55.0,5,71.4,no,31,4
72,2024,Male,BSc in CompUter Science,2nd year,5,96,52.0,4,80.0,no,5,1
73,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,3,80,55.0,3,100.0,yes,0,0
74,2024,Male,Higher Certificate in Information Systems: Cyber Security,1st year,9,106,0.0,0,0.0,no,0,0
75,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,64.0,5,83.3,no,17,2
76,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,1,30,68.0,1,100.0,yes,0,0
77,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,5,80,64.0,4,80.0,no,31,7
78,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,4,90,36.0,0,0.0,no,3,1
79,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,0.0,0,0.0,no,0,0
80,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,1,20,49.0,0,0.0,no,0,0
81,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,1,20,48.0,0,0.0,no,0,0
82,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,2,18,50.0,2,100.0,yes,0,0
83,2024,Male,BSc IT: Robotics,1st year,18,244,70.0,17,94.4,no,10,4
84,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,59.0,3,50.0,no,12,2
85,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,5,110,59.0,2,40.0,no,11,3
86,2024,Male,BSc IT: Data Science,3rd year,1,16,40.0,0,0.0,no,0,0
87,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,5,80,34.0,1,20.0,no,3,1
88,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,2,40,64.0,2,100.0,yes,6,1
89,2024,Male,BSc IT: Data Science,1st year,11,136,64.0,10,90.9,no,21,5
90,2024,Male,BSc in CompUter Science,3rd year,6,100,58.0,6,100.0,yes,9,2
91,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,64.0,5,83.3,no,7,1
92,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,9,140,72.0,9,100.0,yes,34,9
93,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,66.0,5,83.3,no,5,1
94,2024,Female,Higher Certificate in Information Systems: Software Development,1st year,9,136,67.0,9,100.0,yes,15,4
95,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,4,80,46.0,1,25.0,no,10,2
96,2024,Male,BSc in CompUter Science,3rd year,7,100,44.0,1,14.3,no,12,2
97,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,6,100,58.0,5,83.3,no,29,6
98,2024,Female,Higher Certificate in Information Systems: Cyber Security,1st year,9,112,54.0,5,55.6,no,4,1
99,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,5,110,61.0,5,100.0,yes,16,2
100,2024,Male,Higher Certificate in Information Systems: Cloud Computing,2nd year,3,70,72.0,2,66.7,no,4,2
101,2024,Female,BSc IT: Robotics,3rd year,8,120,62.0,7,87.5,no,0,0
102,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,120,66.0,4,100.0,yes,0,0
103,2024,Male,BSc in CompUter Science,3rd year,7,140,49.0,4,57.1,no,0,0
104,2024,Male,Higher Certificate in Information Systems: Software Development,1st year,9,136,59.0,8,88.9,no,42,8
105,2024,Female,BSc IT: Robotics,1st year,20,316,61.0,20,100.0,yes,0,0
106,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,90,46.0,1,16.7,no,7,3
107,2024,Male,BSc IT: Data Science,1st year,11,136,70.0,11,100.0,yes,24,6
108,2024,Male,BSc in CompUter Science,3rd year,5,75,65.0,5,100.0,yes,0,0
109,2024,Female,BSc IT: Data Science,3rd year,5,80,68.0,5,100.0,yes,0,0
110,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,9,140,67.0,9,100.0,yes,39,9
111,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,5,100,58.0,4,80.0,no,13,1
112,2024,Male,Higher Certificate in Information Systems: Cloud Computing,2nd year,3,70,61.0,3,100.0,yes,4,2
113,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,58.0,5,83.3,no,11,2
114,2024,Male,BSc IT: Robotics,3rd year,5,100,48.0,2,40.0,no,0,0
115,2024,Male,Higher Certificate in Information Systems: Software Development,1st year,4,68,42.0,0,0.0,no,4,2
116,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,10,148,65.0,10,100.0,yes,57,9
117,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,8,140,63.0,8,100.0,yes,18,4
118,2024,Female,BSc IT: Robotics,2nd year,5,60,45.0,2,40.0,no,0,0
119,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,6,150,56.0,4,66.7,no,0,0
120,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,54.0,4,66.7,no,4,2
121,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,60,58.0,1,33.3,no,6,1
122,2024,Female,BSc IT: Robotics,2nd year,6,90,56.0,4,66.7,no,13,3
123,2024,Male,Higher Certificate in Information Systems: Software Development,1st year,9,136,53.0,7,77.8,no,33,7
124,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,2,60,66.0,2,100.0,yes,0,0
125,2024,Female,Higher Certificate in Information Systems: Software Development,1st year,9,136,72.0,9,100.0,yes,66,9
126,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,8,140,0.0,0,0.0,no,5,2
127,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,5,80,58.0,3,60.0,no,30,5
128,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,9,140,71.0,9,100.0,yes,25,10
129,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,2,40,61.0,2,100.0,yes,0,0
130,2024,Male,Higher Certificate in Information Systems: Software Development,1st year,9,136,70.0,9,100.0,yes,34,7
131,2024,Male,BSc in CompUter Science,2nd year,8,120,64.0,7,87.5,no,4,1
132,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,1,20,58.0,1,100.0,yes,0,0
133,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,1,20,59.0,1,100.0,yes,0,0
134,2024,Female,Higher Certificate in Information Systems: Software Development,1st year,5,68,67.0,5,100.0,yes,18,4
135,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,76.0,6,100.0,yes,16,3
136,2024,Male,BSc in CompUter Science,1st year,12,144,58.0,11,91.7,no,23,6
137,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,78.0,6,100.0,yes,8,2
138,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,63.0,6,100.0,yes,14,2
139,2024,Male,BSc IT: Data Science,3rd year,8,136,73.0,8,100.0,yes,0,0
140,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,1,20,54.0,1,100.0,yes,0,0
141,2024,Female,Higher Certificate in Information Systems: Cloud Computing,2nd year,2,40,74.0,2,100.0,yes,6,2
142,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,70.0,6,100.0,yes,14,2
143,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,11,166,32.0,2,18.2,no,23,9
144,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,5,140,65.0,5,100.0,yes,0,0
145,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,6,140,53.0,5,83.3,no,0,0
146,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,120,49.0,3,75.0,no,0,0
147,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,4,58,62.0,3,75.0,no,11,1
148,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,5,90,58.0,3,60.0,no,23,5
149,2024,Female,Higher Certificate in Information Systems: Software Development,1st year,9,136,71.0,9,100.0,yes,46,8
150,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,4,90,58.0,4,100.0,yes,1,1
151,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,1,20,57.0,1,100.0,yes,0,0
152,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,1,20,52.0,1,100.0,yes,0,0
153,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,4,90,46.0,1,25.0,no,1,1
154,2024,Male,BSc in CompUter Science,3rd year,6,120,70.0,6,100.0,yes,0,0
155,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,3,70,67.0,3,100.0,yes,11,1
156,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,60,52.0,2,66.7,no,6,1
157,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,6,140,54.0,4,66.7,no,3,1
158,2024,Male,BSc IT: Data Science,1st year,11,136,47.0,4,36.4,no,3,2
159,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,5,80,60.0,4,80.0,no,20,4
160,2024,Male,BSc IT: Data Science,3rd year,8,136,73.0,8,100.0,yes,0,0
161,2024,Female,Higher Certificate in Information Systems: Software Development,1st year,9,136,73.0,9,100.0,yes,72,8
162,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,59.0,4,66.7,no,3,2
163,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,68.0,6,100.0,yes,32,2
164,2024,Male,Higher Certificate in Information Systems: Software Development,1st year,6,96,11.0,1,16.7,no,4,3
165,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,7,130,62.0,5,71.4,no,31,6
166,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,9,140,83.0,9,100.0,yes,72,9
167,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,5,140,59.0,5,100.0,yes,0,0
168,2024,Male,BSc IT: Data Science,1st year,11,136,61.0,10,90.9,no,26,6
169,2024,Male,BSc IT: Data Science,2nd year,4,56,59.0,2,50.0,no,8,3
170,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,62.0,5,83.3,no,25,2
171,2024,Male,BSc IT: Data Science,3rd year,9,148,71.0,9,100.0,yes,0,0
172,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,68.0,5,83.3,no,21,2
173,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,120,60.0,4,100.0,yes,0,0
174,2024,Male,BSc IT: Software Engineering,1st year,4,72,54.0,1,25.0,no,6,2
175,2024,Female,BSc IT: Data Science,1st year,13,160,46.0,9,69.2,no,9,3
176,2024,Female,BSc IT: Data Science,1st year,13,160,46.0,9,69.2,no,9,3
177,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,4,80,58.0,4,100.0,yes,9,3
178,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,51.0,4,66.7,no,5,2
179,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,60.0,4,66.7,no,9,2
180,2024,Male,Higher Certificate in Information Systems: Software Development,1st year,9,136,67.0,9,100.0,yes,72,8
181,2024,Male,BSc in CompUter Science,2nd year,7,94,51.0,5,71.4,no,7,3
182,2024,Female,BSc IT: Data Science,1st year,11,136,55.0,6,54.5,no,4,1
183,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,67.0,6,100.0,yes,17,2
184,2024,Male,BSc IT: Data Science,3rd year,9,148,72.0,9,100.0,yes,0,0
185,2024,Male,BSc IT: Data Science,3rd year,8,136,73.0,8,100.0,yes,0,0
186,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,61.0,5,83.3,no,13,2
187,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,62.0,5,83.3,no,5,1
188,2024,Female,Higher Certificate in Information Systems: Cloud Computing,2nd year,8,152,60.0,6,75.0,no,23,7
189,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,7,130,63.0,6,85.7,no,8,2
190,2024,Male,BSc in CompUter Science,2nd year,4,90,54.0,2,50.0,no,0,0
191,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,71.0,5,83.3,no,15,2
192,2024,Female,BSc IT: Robotics,3rd year,8,120,59.0,8,100.0,yes,0,0
193,2024,Male,BSc in CompUter Science,3rd year,6,120,64.0,5,83.3,no,0,0
194,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,9,138,54.0,7,77.8,no,25,6
195,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,9,138,58.0,8,88.9,no,46,9
196,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,74.0,6,100.0,yes,17,2
197,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,10,150,71.0,10,100.0,yes,52,12
198,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,69.0,6,100.0,yes,15,2
199,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,9,140,72.0,9,100.0,yes,40,10
200,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,8,140,64.0,3,37.5,no,6,2
201,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,6,90,60.0,4,66.7,no,7,4
202,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,63.0,5,83.3,no,26,2
203,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,5,130,62.0,5,100.0,yes,3,1
204,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,65.0,6,100.0,yes,9,1
205,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,9,140,66.0,9,100.0,yes,20,6
206,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,64.0,6,100.0,yes,19,2
207,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,70.0,6,100.0,yes,9,2
208,2024,Male,BSc in CompUter Science,3rd year,9,140,49.0,5,55.6,no,5,2
209,2024,Female,Higher Certificate in Information Systems: Software Development,1st year,9,136,71.0,9,100.0,yes,45,8
210,2024,Female,BSc IT: Data Science,3rd year,8,136,82.0,8,100.0,yes,0,0
211,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,7,140,58.0,5,71.4,no,25,4
212,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,55.0,4,66.7,no,2,1
213,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,62.0,5,83.3,no,13,2
214,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,75.0,6,100.0,yes,22,2
215,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,71.0,6,100.0,yes,24,2
216,2024,Male,BSc IT: Data Science,3rd year,8,136,74.0,8,100.0,yes,0,0
217,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,9,160,64.0,8,88.9,no,20,6
218,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,68.0,6,100.0,yes,12,2
219,2024,Male,BSc IT: Data Science,3rd year,8,136,67.0,8,100.0,yes,0,0
220,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,10,148,69.0,10,100.0,yes,59,11
221,2024,Female,Higher Certificate in Information Systems: Cloud Computing,2nd year,5,70,55.0,4,80.0,no,4,2
222,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,9,140,68.0,9,100.0,yes,50,9
223,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,9,140,71.0,9,100.0,yes,52,11
224,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,65.0,5,83.3,no,27,2
225,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,69.0,6,100.0,yes,15,2
226,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,10,148,65.0,10,100.0,yes,43,8
227,2024,Male,Higher Certificate in Information Systems: Cloud Computing,2nd year,7,116,59.0,7,100.0,yes,17,3
228,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,7,130,54.0,5,71.4,no,18,2
229,2024,Male,BSc IT: Data Science,2nd year,7,102,70.0,7,100.0,yes,6,2
230,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,75.0,6,100.0,yes,17,2
231,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,64.0,6,100.0,yes,16,2
232,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,63.0,5,83.3,no,15,2
233,2024,Female,BSc IT: Robotics,3rd year,6,80,53.0,4,66.7,no,3,1
234,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,10,158,57.0,6,60.0,no,13,8
235,2024,Female,BSc in CompUter Science,3rd year,6,120,74.0,6,100.0,yes,0,0
236,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,76.0,6,100.0,yes,10,2
237,2024,Male,BSc IT: Data Science,3rd year,8,136,77.0,8,100.0,yes,0,0
238,2024,Female,BSc in CompUter Science,3rd year,9,140,72.0,9,100.0,yes,1,1
239,2024,Male,BSc in CompUter Science,3rd year,8,150,54.0,5,62.5,no,6,1
240,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,62.0,4,66.7,no,7,2
241,2024,Female,BSc in CompUter Science,3rd year,8,120,76.0,8,100.0,yes,0,0
242,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,71.0,6,100.0,yes,11,2
243,2024,Female,BSc in CompUter Science,1st year,9,112,67.0,9,100.0,yes,21,5
244,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,6,100,50.0,0,0.0,no,9,4
245,2024,Male,BSc IT: Data Science,3rd year,8,136,68.0,8,100.0,yes,0,0
246,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,120,60.0,4,100.0,yes,0,0
247,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,56.0,4,66.7,no,14,2
248,2024,Female,BSc in CompUter Science,1st year,12,144,63.0,12,100.0,yes,18,5
249,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,5,130,59.0,5,100.0,yes,0,0
250,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,75.0,6,100.0,yes,12,2
251,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,66.0,6,100.0,yes,5,2
252,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,70.0,6,100.0,yes,7,2
253,2024,Male,BSc in CompUter Science,2nd year,6,90,60.0,5,83.3,no,0,0
254,2024,Male,BSc IT: Data Science,1st year,6,62,42.0,2,33.3,no,10,3
255,2024,Male,BSc IT: Data Science,1st year,11,136,60.0,7,63.6,no,8,2
256,2024,Male,BSc in CompUter Science,3rd year,8,160,56.0,4,50.0,no,0,0
257,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,6,120,53.0,4,66.7,no,13,2
258,2024,Male,BSc IT: Data Science,3rd year,8,136,84.0,8,100.0,yes,0,0
259,2024,Female,Higher Certificate in Information Systems: Software Development,1st year,9,136,62.0,8,88.9,no,38,7
260,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,120,62.0,4,100.0,yes,0,0
261,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,63.0,6,100.0,yes,8,2
262,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,9,140,69.0,9,100.0,yes,43,10
263,2024,Male,BSc IT: Data Science,1st year,11,136,66.0,11,100.0,yes,11,5
264,2024,Male,BSc in CompUter Science,3rd year,6,120,56.0,6,100.0,yes,0,0
265,2024,Male,Higher Certificate in Information Systems: Software Development,1st year,9,136,61.0,8,88.9,no,63,8
266,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,8,140,55.0,5,62.5,no,28,4
267,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,120,62.0,4,100.0,yes,0,0
268,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,120,68.0,4,100.0,yes,0,0
269,2024,Female,BSc IT: Robotics,3rd year,8,120,72.0,8,100.0,yes,0,0
270,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,9,140,71.0,9,100.0,yes,52,10
271,2024,Female,BSc IT: Software Engineering,3rd year,8,120,61.0,7,87.5,no,10,2
272,2024,Female,Higher Certificate in Information Systems: Cloud Computing,2nd year,5,120,50.0,2,40.0,no,0,0
273,2024,Male,BSc IT: Data Science,2nd year,10,126,52.0,7,70.0,no,0,0
274,2024,Female,BSc in CompUter Science,3rd year,6,120,76.0,6,100.0,yes,0,0
